new,228
year,152
times,114
saturday,114
york,114
square,76
old,76
century,76
eve,76
struggle,38
line,38
officials,38
fox,38
sec,38
pirates,38
hundreds,38
world,38
focus,38
glittering,38
executive,38
side,38
mass,38
manhattan,38
syrian,38
public,38
nabisco,38
need,38
painful,38
selling,38
hall,38
openly,38
takes,38
conflicts,38
takeover,38
nations,38
dozens,38
barbarians,38
bozzella,38
crackling,38
game,38
heard,38
apologize,38
making,38
ball,38
cheering,38
thousands,38
evening,38
threatened,38
local,38
time,38
ceasefire,38
civil,38
welcoming,38
truce,38
joked,38
gleaming,38
talk,38
early,38
broadcast,38
gunman,38
going,38
events,38
friday,38
performers,38
chronicled,38
era,38
still,38
maiden,38
midnight,38
wounded,38
revelers,38
gate,38
around,38
might,38
defining,38
substance,38
saying,38
united,38
sports,38
make,38
history,38
prolonged,38
east,38
latest,38
violations,38
colorful,38
long,38
fireworks,38
beloved,38
said,38
security,38
displays,38
subway,38
select,38
surprises,38
language,38
pull,38
loud,38
chief,38
celebrity,38
